Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
36.5,0,0.004,1.4,1.4,16.4
36.75,0,0.005,1.4,1.4,16.5
37,0,0.005,1.4,1.4,16.7
37.25,0,0.005,1.4,1.4,16.8
37.5,0,0.005,1.5,1.5,16.8
37.75,0,0.005,1.5,1.5,16.8
38,0,0.005,1.5,1.5,16.8
38.25,0,0.005,1.5,1.5,16.8
38.5,0,0.005,1.6,1.6,16.8
38.75,0,0.006,1.6,1.6,16.8
39,0,0.006,1.6,1.6,17
39.25,0,0.006,1.6,1.6,17.1
39.5,0,0.006,1.7,1.7,17.1
39.75,0,0.006,1.7,1.7,17.2
40,0,0.006,1.7,1.7,17.3
40.25,0,0.006,1.7,1.7,17.3
40.5,0,0.006,1.8,1.8,17.4
40.75,0,0.006,1.8,1.8,17.4
41,0,0.006,1.8,1.8,17.4
41.25,0,0.006,1.8,1.8,17.4
41.5,0,0.006,1.9,1.9,17.4
41.75,0,0.006,1.9,1.9,17.4
42,0,0.006,1.9,1.9,17.4
42.25,0,0.006,1.9,1.9,17.4
42.5,0,0.006,2,2,17.4
42.75,0,0.006,2,2,17.5
43,0,0.006,2,2,17.6
43.25,0,0.006,2,2,17.7
43.5,0,0.005,2.1,2.1,17.7
43.75,0,0.005,2.1,2.1,18
44,0,0.005,2.1,2.1,18.1
44.25,0,0.005,2.1,2.1,18.1
44.5,0,0.005,2.2,2.2,18.1
44.75,0,0.005,2.2,2.2,18.1
45,0,0.005,2.2,2.2,18.1
45.25,0,0.005,2.2,2.2,18.1
45.5,0,0.005,2.3,2.3,18.1
45.75,0,0.005,2.3,2.3,18.1
46,0,0.005,2.3,2.3,18.1
46.25,0,0.005,2.3,2.3,18.1
46.5,0,0.005,2.4,2.4,18.1
46.75,0,0.005,2.4,2.4,18.2
47,0,0.005,2.4,2.4,18.4
47.25,0,0.004,2.4,2.4,18.4
47.5,0,0.004,2.5,2.5,18.4
47.75,0,0.004,2.5,2.5,18.4
48,0,0.004,2.5,2.5,18.7
48.25,0,0.004,2.5,2.5,18.8
48.5,0,0.004,2.6,2.6,18.8
48.75,0,0.004,2.6,2.6,18.8
49,0,0.004,2.6,2.6,18.8
49.25,0,0.004,2.6,2.6,18.8
49.5,0,0.004,2.7,2.7,19
49.75,0,0.004,2.7,2.7,19.1
50,0,0.004,2.7,2.7,19.1
50.25,0,0.004,2.7,2.7,19.1
